book_id,original_title,language_code,adult,adult-fiction,adventure,book-club,contemporary,fantasy,fiction,mystery,romance,young-adult
0,The Hunger Games,eng,0,0,1,1,1,1,1,0,1,1
1,Harry Potter and the Philosopher's Stone,eng,0,0,1,0,1,1,1,1,0,1
2,Twilight,en-US,0,0,0,1,1,1,1,0,0,1
3,To Kill a Mockingbird,eng,1,1,0,1,1,0,1,1,0,1
4,The Great Gatsby,eng,1,1,0,1,0,0,1,0,1,1
5,The Fault in Our Stars,eng,0,0,0,1,1,0,1,0,1,1
6,The Hobbit or There and Back Again,en-US,1,1,1,1,0,1,1,0,0,1
7,The Catcher in the Rye,eng,1,1,0,1,1,0,1,0,0,1
8,Angels & Demons ,en-CA,1,1,1,1,1,1,1,1,1,0
9,Pride and Prejudice,eng,1,1,0,1,0,0,1,0,1,1
10,The Kite Runner ,eng,1,1,0,1,1,0,1,0,0,1
11,Divergent,eng,0,0,1,1,0,1,1,0,1,1
12,Nineteen Eighty-Four,eng,1,1,0,1,0,1,1,0,0,1
13,Animal Farm: A Fairy Story,eng,1,1,0,1,0,1,1,0,0,1
14,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,1,0,0,0,0,0,1,0,0,1
15,Män som hatar kvinnor,eng,1,1,1,1,1,0,1,1,0,0
16,Catching Fire,eng,0,0,1,1,1,1,1,0,1,1
17,Harry Potter and the Prisoner of Azkaban,eng,0,0,1,0,1,1,1,1,0,1
18, The Fellowship of the Ring,eng,1,1,1,0,0,1,1,0,0,1
19,Mockingjay,eng,0,0,1,1,0,1,1,0,1,1
20,Harry Potter and the Order of the Phoenix,eng,0,0,0,0,0,1,1,1,1,1
21,The Lovely Bones,eng,1,1,0,1,1,1,1,1,1,1
22,Harry Potter and the Chamber of Secrets,eng,0,0,1,0,1,1,1,1,0,1
23,Harry Potter and the Goblet of Fire,eng,0,0,1,0,1,1,1,1,0,1
24,Harry Potter and the Deathly Hallows,eng,0,0,1,0,1,1,1,1,1,1
25,The Da Vinci Code,eng,1,1,1,1,1,1,1,1,1,0
26,Harry Potter and the Half-Blood Prince,eng,0,0,1,0,1,1,1,1,1,1
27,Lord of the Flies ,eng,1,1,1,1,1,1,1,0,0,1
28,An Excellent conceited Tragedie of Romeo and Juliet,eng,1,1,0,0,0,0,1,0,1,1
29,Gone Girl,eng,1,1,0,1,1,0,1,1,1,0
30,The Help,eng,1,1,0,1,1,0,1,0,0,1
31,Of Mice and Men ,eng,1,1,0,1,0,0,1,0,0,1
32,Memoirs of a Geisha,eng,1,1,0,1,1,0,1,0,1,0
33,Fifty Shades of Grey,eng,1,1,0,1,1,0,1,0,1,1
34,O Alquimista,eng,1,1,1,1,1,1,1,0,1,1
35,The Giver,eng,0,0,1,0,1,1,1,0,0,1
36,"The Lion, the Witch and the Wardrobe",eng,0,0,1,0,0,1,1,0,0,1
37,The Time Traveler's Wife,eng,1,1,0,0,1,1,1,0,1,0
38,A Game of Thrones,eng,1,1,1,1,1,1,1,0,1,0
39,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,1,1,1,1,1,0,1,0,1,0
40,The Lightning Thief,eng,0,0,1,0,1,1,1,1,0,1
41,Little Women,en-US,1,1,0,1,0,0,1,0,1,1
42,Jane Eyre,eng,0,0,0,0,0,0,1,1,1,1
43,The Notebook,eng,1,1,0,1,1,0,1,0,1,1
44,Life of Pi,,1,1,1,1,1,1,1,0,0,1
45,Water for Elephants,eng,1,1,0,1,1,0,1,0,1,1
46,The Book Thief,eng,1,0,0,1,1,1,1,0,0,1
47,Fahrenheit 451,spa,1,1,0,1,0,1,1,0,0,1
48,"New Moon (Twilight, #2)",eng,0,0,0,0,1,1,1,0,1,1
