	book_id	original_title	language_code	adult	adult-fiction	adventure	book-club	contemporary	fantasy	fiction	mystery	romance	young-adult
0	0	The Hunger Games	eng	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
1	1	Harry Potter and the Philosopher's Stone	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
2	2	Twilight	en-US	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
3	3	To Kill a Mockingbird	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
4	4	The Great Gatsby	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
5	5	The Fault in Our Stars	eng	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
6	6	The Hobbit or There and Back Again	en-US	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
7	7	The Catcher in the Rye	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
8	8	Angels & Demons 	en-CA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
9	9	Pride and Prejudice	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
10	10	The Kite Runner 	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
11	11	Divergent	eng	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
12	12	Nineteen Eighty-Four	eng	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
13	13	Animal Farm: A Fairy Story	eng	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
14	14	Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944	eng	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
15	15	Män som hatar kvinnor	eng	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
16	16	Catching Fire	eng	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
17	17	Harry Potter and the Prisoner of Azkaban	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
18	18	 The Fellowship of the Ring	eng	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
19	19	Mockingjay	eng	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
20	20	Harry Potter and the Order of the Phoenix	eng	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
21	21	The Lovely Bones	eng	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
22	22	Harry Potter and the Chamber of Secrets	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
23	23	Harry Potter and the Goblet of Fire	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
24	24	Harry Potter and the Deathly Hallows	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
25	25	The Da Vinci Code	eng	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
26	26	Harry Potter and the Half-Blood Prince	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
27	27	Lord of the Flies 	eng	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
28	28	An Excellent conceited Tragedie of Romeo and Juliet	eng	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
29	29	Gone Girl	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
30	30	The Help	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
31	31	Of Mice and Men 	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
32	32	Memoirs of a Geisha	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
33	33	Fifty Shades of Grey	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
34	34	O Alquimista	eng	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
35	35	The Giver	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
36	36	The Lion, the Witch and the Wardrobe	eng	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
37	37	The Time Traveler's Wife	eng	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0
38	38	A Game of Thrones	eng	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
39	39	Eat, pray, love: one woman's search for everything across Italy, India and Indonesia	eng	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
40	40	The Lightning Thief	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
41	41	Little Women	en-US	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
42	42	Jane Eyre	eng	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
43	43	The Notebook	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
44	44	Life of Pi		1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
45	45	Water for Elephants	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
46	46	The Book Thief	eng	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
47	47	Fahrenheit 451	spa	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
48	48	New Moon (Twilight, #2)	eng	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
49	49	Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein	eng	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
50	50	City of Bones	eng	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
51	51	Eclipse	en-US	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
52	52	Eragon	en-US	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0
53	53	The Hitchhiker's Guide to the Galaxy	en-US	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
54	54	Brave New World	eng	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
55	55	Breaking Dawn	en-US	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
56	56	The Secret Life of Bees	en-US	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
57	57	The Adventures of Huckleberry Finn	eng	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
58	58	Charlotte's Web	eng	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
59	59	The Curious Incident of the Dog in the Night-Time	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0
60	60	The Girl on the Train	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
61	61	Northern Lights	eng	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
62	62	Wuthering Heights	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
63	63	My Sister's Keeper	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
64	64	Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death 	eng	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
65	65	Gone with the Wind	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
66	66	A Thousand Splendid Suns	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
67	67	The Perks of Being a Wallflower	eng	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
68	68	Insurgent	eng	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
69	69	Ender's Game	eng	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
70	70	Frankenstein; or, The Modern Prometheus	eng	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
71	71	The Shining	eng	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
72	72	The Host	en-US	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
73	73	Looking for Alaska	eng	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
74	74		eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
75	75	Sense and Sensibility	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
76	76	Holes	eng	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
77	77	The Devil Wears Prada	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
78	78	Ὀδύσσεια	eng	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
79	79	Le Petit Prince	eng	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
80	80	The Glass Castle	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
81	81	Into the Wild	eng	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
82	82	A Tale of Two Cities	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
83	83	Jurassic Park	spa	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
84	84	The Giving Tree	eng	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
85	85	A Time to Kill	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
86	86	Un di Velt Hot Geshvign	eng	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
87	87	Paper Towns	en-US	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
88	88	The Princess Bride	en-US	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
89	89	The Outsiders	en-US	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
90	90	The Maze Runner	eng	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
91	91	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything	en-US	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
92	92	The Secret Garden	eng	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
93	93	Cien años de soledad	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
94	94	The Picture of Dorian Gray	eng	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
95	95	Fifty Shades Freed	eng	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
96	96	Dracula	eng	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
97	97	Flickan som lekte med elden	eng	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
98	98	Fifty Shades Darker	eng	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
99	99	The Poisonwood Bible	eng	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
100	100	Me Talk Pretty One Day	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
101	101	Where the Wild Things Are	eng	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
102	102	Le Comte de Monte-Cristo	eng	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
103	103	The Road	eng	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
104	104	Allegiant	eng	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
105	105	Bossypants	eng	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
106	106	A Walk to Remember	en-US	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
107	107	Confessions of a Shopaholic	eng	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
108	108	Les Misérables	eng	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0
109	109	A Clash of Kings	eng	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
110	110	The Memory Keeper's Daughter	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
111	111	Me Before You	eng	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
112	112	Catch-22	en-US	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
113	113	Tuesdays with Morrie	eng	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
