userId,artistId,playcount
1415,1435,852
726,992,67
1569,5,161
58,1719,696
1787,874,437
1539,919,721
503,386,99
1566,481,591
749,8713,57
1139,557,490
201,1169,337
724,468,71
425,6793,64
297,249,35203
1500,2159,745
917,277,77
643,122,2656
18,744,164
1282,156,196
1755,179,72
83,2328,59
534,251,125
195,4040,546
962,2720,485
594,678,623
295,464,187
1063,2468,355
1736,6850,4139
864,4545,510
557,291,646
247,315,534
485,473,98
384,441,66
895,10937,122
1334,414,1244
782,10123,194
674,251,1080
488,787,1016
1697,16,1151
1403,2727,112
1145,3018,653
1775,553,163
834,982,152
1717,234,139
1803,2316,405
473,7222,61
620,901,527
1873,1413,191
1556,299,78
1172,3017,1
719,2278,16
1886,17563,1191
242,4643,114
1416,238,1391
1648,147,156
951,2717,4
44,179,7454
217,855,80
181,1257,13
763,315,1453
451,1196,51
256,4794,487
282,5172,192
1517,139,625
885,16,21425
1661,5404,303
909,11059,42
1260,13552,501
1083,2202,188
1317,2547,497
637,788,2938
232,4499,502
21,835,1484
490,1146,3015
1221,454,147
1235,251,566
1781,1773,871
1513,446,1380
1343,659,53
516,7629,11
1787,7503,581
33,1042,361
1106,187,29
167,683,466
1054,1756,1180
1832,1593,1093
182,3814,5427
1662,8966,320
354,1673,1255
144,278,68
3,179,137
1054,5782,504
347,122,614
1130,9981,381
1834,811,64
588,1650,100
422,811,124
1515,15125,915
1016,1134,1401
1588,405,127
301,987,3577
138,277,39
1131,1663,119
1730,14618,53
78,2220,161
540,7909,286
777,1700,116
109,1767,175
1052,12089,134
1039,2327,211
666,9128,86
682,5855,60
437,1342,1398
728,383,819
1764,176,38
1276,13645,385
1716,240,484
1529,15202,409
871,3986,121
384,477,52
549,166,995
587,5159,46
694,179,67
1792,2627,23
786,814,534
1140,274,636
345,3014,146
1553,278,122
1829,17289,89
1532,15227,188
1305,1154,1273
299,5381,280
809,241,3134
713,1594,300
1533,425,16374
1419,1041,269
569,1681,12
1498,512,143
188,147,154
1292,13732,107
977,10303,102
1547,1334,209
1017,171,189
1660,1480,354
1812,2714,43
1614,16,256
946,4168,35
314,111,5599
765,161,45
66,1836,324
1508,7462,374
1846,4940,192
1451,273,70
1594,1357,143
731,486,55
1153,4050,343
204,1013,73
585,1049,227
48,753,1122
1230,328,411
1221,1096,86
1464,7076,1043
1661,2280,173
692,4857,174
1114,424,762
976,38,422
1208,144,323
1728,16606,18
1516,13185,279
819,214,37
1409,8037,69
1406,2599,1079
904,1096,853
1851,416,1470
85,1633,854
318,375,242
542,3597,452
1399,4764,75
459,1310,464
536,2922,687
1103,139,4055
486,3338,427
1607,655,897
1194,9627,1
1605,15712,308
87,2416,939
1706,2130,98
518,7689,127
1024,3198,29
1122,9340,190
204,3176,166
924,122,110
1862,1096,155
343,90,6
1467,858,92
78,1057,130
1534,2797,323
71,431,318
1793,17041,43
62,438,1189
1871,4794,531
1343,14,146
978,492,323
591,3383,33
1507,1817,184
110,668,1
1413,1334,430
246,4718,301
934,389,330
1774,16909,2640
642,244,307
650,677,3731
1339,1132,3149
235,448,217
1839,293,1975
105,2731,1373
1008,259,481
699,9409,214
1784,3890,108
1027,1195,386
139,624,391
1530,1909,46
770,30,291
1122,106,523
35,5,74
1727,678,1064
676,2554,94
943,10449,194
1774,4262,1766
1423,14544,479
1265,13576,1272
529,565,1547
851,10175,207
411,6597,729
736,1139,2705
1092,808,220
299,146,542
92,1821,284
1786,1049,544
1046,405,44119
855,1108,23
42,110,443
626,241,173
1458,14693,292
1629,15852,538
1786,482,64
3,158,252
1078,8593,213
1839,1334,236
1821,3314,755
1343,2070,27
1205,13202,727
1567,15500,323
1026,8300,20
870,10749,122
1639,662,254
1450,478,734
584,656,498
29,183,289
1869,4,228
863,553,1327
101,2634,1339
1858,1950,16
391,6379,260
1606,4373,31
95,799,261
603,5729,472
1040,9260,471
456,2790,139
1169,12992,52
885,9919,66
773,1935,122
1521,448,1016
336,1367,83
1105,5516,453
729,6462,255
1597,473,1
192,3978,491
842,1041,1585
1041,11963,4493
487,3432,256
355,1073,188
618,6271,433
610,5,212
45,1439,6
1768,475,271
623,38,221
947,243,1579
512,7585,37
95,2459,73
284,4794,58
728,9609,541
0,34,1638
1178,2316,370
1310,273,245
450,1570,658
1066,7266,102
1268,816,49
1626,15828,653
576,328,1125
1644,416,515
26,629,293
1404,206,20168
971,11452,240
1408,5854,212
711,448,165
626,2054,1005
1012,438,6291
1014,328,757
857,1866,1137
296,580,1920
1718,3488,392
1869,7,115
1035,11939,92
500,909,44
1807,2598,186
1065,12227,14
965,8392,2819
215,237,9
1092,403,2303
1557,475,145
1353,14137,217
1654,379,650
1629,11034,276
442,241,192
820,4172,72
1850,873,2841
1181,324,1278
999,327,1240
1075,651,89
1021,11797,17
1618,7451,193
1051,1822,192
1717,1049,1198
144,651,115
755,9876,254
1617,6316,1437
217,38,2833
483,1633,306
317,244,3354
1681,16205,348
583,5943,216
347,1184,272
1378,249,54
1126,6778,268
766,2565,50
1318,2471,24
335,370,1576
612,8638,88
1265,13577,959
731,9625,176
1651,475,363
1480,1319,30
1309,3504,102
98,1055,44
557,1570,660
1237,12523,342
1368,3909,327
576,3919,261
903,274,596
1738,9692,403
825,10398,2780
1876,17511,16
471,651,82
1195,251,119
983,799,302
1600,38,6250
740,1418,19
277,122,642
972,1387,53
694,327,272
903,259,8546
354,868,947
1695,1378,61
792,267,454
1687,16273,8
1012,1146,1412
738,5150,28
1257,631,74
902,1537,2245
1146,12853,504
521,200,2
1471,14831,296
1402,247,252
1265,13587,485
87,425,418
1521,2921,435
1811,2068,633
679,21,788
668,2547,1338
1816,14228,35
1836,251,548
308,179,165
946,680,56
1632,240,427
650,8982,12091
1135,442,1331
1046,3443,8141
636,110,761
1539,2965,426
447,4520,261
759,1898,289
774,10054,168
1245,282,12
726,649,118
1320,475,108
247,3892,1863
152,416,156
12,542,610
1595,238,4850
1576,3332,197
1403,14439,154
1036,916,5
277,1184,1989
438,328,419
331,244,490
384,6312,155
1794,3598,570
1597,355,1
597,106,307
389,6339,83
238,4590,147
556,964,1304
850,2532,57
721,9554,136
917,271,114
1138,1866,1036
1304,9455,66
1508,3383,416
169,486,257
354,893,924
710,5191,32
413,6628,43
1834,17305,90
452,4085,382
1315,856,591
1410,14465,97
1069,677,195
391,6372,443
1347,1910,401
218,234,26059
359,414,1115
1515,14680,355
1317,179,1348
683,38,2319
1258,13544,144
962,372,1042
1174,270,47
1292,5974,296
1736,103,8154
1641,0,1
1118,244,1016
899,5054,131
1677,3983,644
218,4331,711
304,856,109
1485,2528,352
144,139,58
1172,5635,1
79,2247,1085
1143,178,178
1128,156,1142
282,38,21536
418,580,107
988,631,1258
1669,16087,384
393,591,114
1422,45,421
891,664,374
1058,10515,153
524,7761,1189
293,3676,278
54,993,777
1577,668,1484
1652,1957,287
1421,14520,175
1043,315,84
1846,383,107
1883,15763,28
592,238,25118
909,2750,112
894,6191,1104
815,2590,1165
1347,5748,213
1388,14382,70
1153,425,71
1039,2328,199
1389,103,109
393,6411,112
164,3571,94
1771,3676,554
147,108,479
182,3542,39
1779,146,1124
1464,4379,816
1758,7935,424
357,6038,597
310,254,231
212,251,1361
1525,247,797
1033,596,48
1338,282,724
414,6641,502
1801,1639,724
250,414,638
453,183,115
1846,2598,159
1441,177,157
1150,568,284
1521,273,695
1198,659,235
1099,12458,2
494,7497,19
760,3009,192
931,1334,887
1770,16888,1030
1455,255,1156
972,1741,40
1428,4050,424
973,8233,136
1426,38,1001
1638,848,330
651,2279,221
875,6415,108
1874,2645,608
75,633,85
1743,3209,48
9,243,264
1290,161,2006
767,880,44
1803,1780,493
553,631,23284
854,3897,746
295,5329,186
1181,629,1829
243,4137,287
328,238,2324
478,2468,127
876,5271,37
83,591,43
1090,10780,980
1106,667,28
183,2208,770
665,238,8696
318,5564,435
1559,30,336
722,9566,119
803,403,2287
939,11252,92
989,11568,13
1575,1049,51
1607,5,357
1443,374,159
1079,1134,329
1683,629,688
1079,3556,710
817,478,245
625,3014,1297
389,2597,78
104,2720,165
1135,2590,5742
745,9746,17
1341,755,787
1275,992,33
1761,16851,32
216,328,834
1021,4442,21
824,868,456
526,7795,696
530,1041,131
1596,151,1978
1147,12860,1
599,8505,37
399,629,462
590,411,966
1790,1359,91
1056,10613,463
78,2206,385
1719,16527,96
129,863,53
916,282,276
1219,13307,4
703,2569,240
557,851,391
1277,481,39
230,2895,118
1721,16530,325
36,1232,58
912,560,181
1718,16520,125
1867,2332,131
1479,3383,1329
75,262,355
1084,2469,1685
451,1376,207
599,8488,60
1202,13178,507
1088,10100,405
895,549,125
1526,5769,198
839,241,8667
981,244,1039
1173,2356,186
109,1372,1323
321,5623,62
1839,3314,64
1631,11044,2
1117,12638,16
999,448,1255
1223,3314,29
1561,1866,822
798,202,166
1267,435,279
13,146,599
1336,1418,469
602,867,25
135,3177,59
914,319,104
1335,13967,15
185,2533,18
271,4991,25
501,905,80
1129,176,665
1395,1946,286
1394,389,5
5,256,1162
1807,2597,372
1363,227,14
652,276,801
718,1361,7
1839,654,161
1040,103,2591
123,3042,1251
682,9280,69
757,3307,6
18,737,369
356,406,1932
1206,5768,694
679,1103,626
1221,483,73
347,3520,519
259,265,41
1025,11837,24
1460,1055,4411
451,176,161
797,654,175
1818,1413,130
1052,12084,162
5,254,1169
165,313,1333
1538,922,31
1039,237,226
523,6891,125
339,4617,131
631,5674,184
122,2721,1574
655,8992,20
261,1498,102
1183,1718,545
1306,5280,306
1485,243,374
1449,863,116
1574,2461,522
723,651,4232
200,4113,49
1371,488,1084
1245,9267,15
596,2827,360
469,241,467
527,139,322
147,138,1016
550,494,43
1163,139,2684
329,1049,404
1632,106,567
803,461,92
690,8396,1275
39,1337,330
1091,12410,3160
938,249,1778
502,237,2327
1883,12660,34
644,1195,5983
1638,112,283
325,2776,408
1331,1639,336
1165,280,247
527,969,90
750,3139,1604
1126,12733,213
92,2517,212
1593,247,677
429,155,295
1765,476,344
1823,289,25
168,3604,336
749,9819,60
788,6599,316
942,736,694
1258,549,396
658,21,13
188,176,203
1876,17515,12
784,5012,181
1361,1023,642
770,565,638
1481,176,324
1880,327,625
1283,2557,60
1580,982,114
1548,854,932
30,1065,1482
1707,1042,118
1312,630,264
1124,6948,443
1615,3373,227
864,178,836
1808,868,2265
239,4321,355
1889,4940,841
1636,414,270
64,255,216
774,10065,130
1031,139,157
1525,38,1204
1723,169,655
1320,12323,37
1258,14,317
1644,244,191
1567,5687,409
233,4512,320
627,206,479
20,804,240
281,909,122
965,394,1728
1799,549,315
667,870,379
1407,139,18
1446,14650,282
1711,752,196
1820,375,351
468,696,186
467,1766,2
112,1846,347
1785,10063,528
1423,301,345
1075,380,97
45,629,5
10,452,2303
1381,3357,601
1352,1023,176
192,3982,436
1122,662,646
1702,16422,75
754,395,106
933,103,352
137,1574,2123
112,45,234
1627,6015,129
762,139,51
1150,12873,508
1494,639,557
1120,0,157
725,38,1264
808,108,677
1811,178,724
615,4808,199
916,140,2232
694,651,121
398,5877,750
1144,1495,141
1160,994,1185
1489,3981,1072
1680,868,1985
950,6428,746
1461,362,286
850,6441,65
330,2112,75
901,280,322
1800,176,1068
1707,4379,138
1304,901,70
241,249,21
1221,567,112
388,624,1377
1702,103,87
459,657,4842
1844,410,519
367,6170,52
624,8797,80
1255,215,104
1882,5376,532
1123,5634,350
1388,1738,36
213,475,321
610,3844,199
1820,147,118
745,102,4
1683,240,100
577,8301,2578
1506,15085,45
367,1738,135
442,2471,155
2,133,247
1429,159,1473
686,1167,42
1048,944,70
347,1892,179
1310,5690,514
1185,248,118
1557,2015,300
1403,2395,103
821,328,354
1376,8333,1167
1406,691,2132
168,1489,575
479,757,567
539,7901,42
699,9411,170
712,1498,177
261,2015,574
892,1642,528
926,654,217
118,1507,1135
193,2753,1599
754,2,97
1143,14,364
919,1908,1
58,1731,232
527,1473,129
1068,11938,124
1577,5921,1005
858,793,180
1567,5371,374
1302,629,138
958,749,47
689,657,2724
900,1879,218
1247,1901,244
1606,3617,67
1352,9258,167
1486,1004,209
329,5698,102
550,1415,44
1253,12575,401
1770,188,363
1601,21,3455
814,8052,90
641,301,188
1058,1339,197
