movieId,imdbId,tmdbId
417,114709,862.0
650,113497,8844.0
319,113228,15602.0
2084,114885,31357.0
651,113041,11862.0
652,113277,949.0
2061,114319,11860.0
2518,112302,45325.0
2062,114576,9091.0
20,113189,710.0
653,112346,9087.0
3589,112896,12110.0
5017,112453,21032.0
654,113987,10858.0
3633,112760,1408.0
655,112641,524.0
21,114388,4584.0
2063,113101,5.0
656,112281,9273.0
2274,113845,11517.0
418,113161,8012.0
657,112722,1710.0
2085,112401,9691.0
2275,114168,12665.0
658,113627,451.0
503,114057,16420.0
4740,114011,9263.0
3590,114117,17015.0
1944,112682,902.0
4212,115012,37557.0
0,112792,9909.0
447,114746,63.0
139,112431,9598.0
2086,112637,47018.0
504,112818,687.0
4384,112286,139405.0
7691,113442,33689.0
22,112697,9603.0
419,112749,34615.0
3004,114279,31174.0
2087,112819,11443.0
3591,114272,35196.0
659,113855,9312.0
448,114681,577.0
4131,113347,11861.0
23,114369,807.0
2088,114148,10530.0
6831,114916,8391.0
24,114814,629.0
25,113819,11448.0
6506,110299,49133.0
6867,112499,26441.0
3005,113158,97406.0
2089,113321,9089.0
2090,110877,11010.0
7145,112714,99040.0
96,113419,11359.0
3617,116260,17182.0
26,113862,2054.0
2091,116126,10607.0
2092,118002,19760.0
3401,115683,9536.0
5001,116839,11525.0
3006,113149,4482.0
2481,113118,10634.0
547,116367,755.0
4463,113010,11859.0
4213,113537,28387.0
2499,113828,48750.0
2064,115644,20927.0
2065,114367,9102.0
7610,113973,124626.0
2478,112744,27526.0
2066,116731,9623.0
5959,112445,46785.0
2067,114660,400.0
660,112379,880.0
6323,114039,146599.0
7685,113612,188588.0
2068,112365,8447.0
2069,118158,10534.0
7695,116151,17414.0
2952,115697,13997.0
2093,113972,2086.0
2070,117002,9095.0
4132,114825,12158.0
661,115639,9283.0
662,115759,9208.0
6871,113403,40154.0
2094,113247,406.0
3634,111173,45549.0
6452,113283,63076.0
2071,115907,11062.0
663,115734,13685.0
4741,117102,47475.0
5511,118040,2045.0
320,116483,9614.0
2095,112579,688.0
664,117110,10874.0
8319,112646,89333.0
27,112573,197.0
385,75314,103.0
140,113326,33542.0
5509,115645,43566.0
8298,113774,71754.0
4214,112373,51352.0
4385,115033,16934.0
2519,116606,10324.0
7174,114536,78406.0
4215,106473,32119.0
2096,103859,11066.0
665,109424,11104.0
4216,114808,37975.0
666,116324,2074.0
548,110647,27793.0
9063,114131,110972.0
3061,112364,32622.0
8320,113107,73067.0
4516,113451,11863.0
3123,116130,9101.0
8321,113756,5757.0
2072,118055,9302.0
141,115685,11000.0
28,112585,16388.0
667,112442,9737.0
5018,112342,30765.0
3007,112461,10474.0
8431,112427,22279.0
668,109093,30157.0
29,112384,568.0
420,114287,11780.0
525,112288,34996.0
30,112462,414.0
2097,61395,649.0
6324,112495,1873.0
4133,112541,5894.0
669,109370,1775.0
386,112642,8839.0
2098,112688,20649.0
670,112715,10329.0
31,112740,8963.0
671,109508,26564.0
672,112851,8068.0
673,112857,8512.0
32,112864,1572.0
2099,112887,13552.0
9052,113044,259209.0
33,113071,6520.0
549,113114,9073.0
674,113243,10428.0
4217,113464,17447.0
675,113481,9886.0
142,113492,9482.0
4283,113500,19326.0
676,113540,9344.0
677,113677,9071.0
2100,113690,8973.0
4218,107447,15730.0
2101,113729,47608.0
678,113749,2293.0
2234,113820,9070.0
8322,110604,48787.0
5701,110620,34574.0
34,113957,1642.0
35,113986,11472.0
6453,114095,36196.0
3053,114194,11980.0
8323,114241,58372.0
4136,114323,32646.0
4134,114345,10533.0
679,114436,10802.0
1945,114478,10149.0
5019,114496,18402.0
680,114508,9348.0
421,114558,281.0
4961,58450,5967.0
5002,114666,79593.0
5020,114663,47939.0
2102,114702,36834.0
2520,114682,9090.0
2950,114781,3512.0
4194,114798,52856.0
2103,114805,77350.0
422,114887,9560.0
36,114898,9804.0
2104,114928,31611.0
7475,109340,49805.0
4219,111579,50797.0
681,110882,19155.0
682,112471,76.0
683,112508,11017.0
4644,112438,37141.0
4220,112571,9382.0
5668,112757,6715.0
3054,112643,18256.0
37,112679,22625.0
38,109445,2292.0
2276,112883,1909.0
39,109635,8984.0
2521,109676,4954.0
2522,112854,62488.0
2105,109579,10531.0
684,109642,11929.0
321,109686,8467.0
685,111797,10451.0
686,109759,20156.0
4205,109758,18395.0
40,109707,522.0
2277,113117,397.0
687,113097,10525.0
3380,113028,27985.0
3635,113198,15789.0
5003,113303,27303.0
6923,113089,21183.0
3008,109771,10954.0
5021,113199,47867.0
8324,113234,43475.0
8923,109906,72031.0
688,110057,14275.0
97,110005,1024.0
41,110066,17207.0
2106,110116,13701.0
3404,110006,14819.0
7694,113360,32631.0
689,110099,11777.0
42,110148,628.0
2523,113463,87729.0
4206,110189,18713.0
3009,110216,6280.0
4517,113501,9061.0
3332,113538,37108.0
4942,113552,6071.0
143,76759,11.0
43,110367,9587.0
2107,113670,19101.0
4221,110296,49980.0
7009,109731,17961.0
44,103994,18183.0
45,110322,4476.0
98,110443,11008.0
6507,110365,47504.0
2108,107566,32325.0
5022,110391,43742.0
5023,113691,28313.0
46,110428,11318.0
47,109836,3036.0
4949,113755,40490.0
4207,110538,24070.0
2109,110516,8986.0
322,110527,10510.0
6298,113808,17402.0
3592,113896,38722.0
3593,113870,8438.0
2110,110684,11593.0
449,110638,1945.0
2111,113967,39310.0
3055,106402,56428.0
4222,110671,131957.0
690,110632,241.0
144,110737,9058.0
4223,110729,527.0
4208,114151,18220.0
48,114069,6950.0
387,110413,101.0
3594,114113,63020.0
5119,114210,2307.0
49,110912,680.0
4224,110889,40156.0
50,110932,11450.0
6483,114129,30304.0
4225,110963,10452.0
3333,114214,12106.0
7606,114296,161495.0
4226,110907,3586.0
691,111495,110.0
692,108394,108.0
693,111507,109.0
7006,110769,159185.0
3010,114571,28033.0
4645,111333,22586.0
51,111112,14334.0
2251,111255,2636.0
423,111282,2164.0
52,111070,11395.0
99,111161,278.0
53,111149,9905.0
7692,108260,87078.0
3011,106966,12527.0
694,114594,20306.0
4227,111309,36614.0
8325,113936,27993.0
2112,110081,31439.0
3062,114614,9067.0
2113,114608,9059.0
145,111280,193.0
3056,114609,25066.0
4228,111454,46797.0
2114,114852,12122.0
424,114694,11381.0
2115,111590,32636.0
