movieId,title,genres
417,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
650,Jumanji (1995),Adventure|Children|Fantasy
319,Grumpier Old Men (1995),Comedy|Romance
2084,Waiting to Exhale (1995),Comedy|Drama|Romance
651,Father of the Bride Part II (1995),Comedy
652,Heat (1995),Action|Crime|Thriller
2061,Sabrina (1995),Comedy|Romance
2518,Tom and Huck (1995),Adventure|Children
2062,Sudden Death (1995),Action
20,GoldenEye (1995),Action|Adventure|Thriller
653,"American President, The (1995)",Comedy|Drama|Romance
3589,Dracula: Dead and Loving It (1995),Comedy|Horror
5017,Balto (1995),Adventure|Animation|Children
654,Nixon (1995),Drama
3633,Cutthroat Island (1995),Action|Adventure|Romance
655,Casino (1995),Crime|Drama
21,Sense and Sensibility (1995),Drama|Romance
2063,Four Rooms (1995),Comedy
656,Ace Ventura: When Nature Calls (1995),Comedy
2274,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
418,Get Shorty (1995),Comedy|Crime|Thriller
657,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
2085,Assassins (1995),Action|Crime|Thriller
2275,Powder (1995),Drama|Sci-Fi
658,Leaving Las Vegas (1995),Drama|Romance
503,Othello (1995),Drama
4740,Now and Then (1995),Children|Drama
3590,Persuasion (1995),Drama|Romance
1944,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
4212,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
0,Dangerous Minds (1995),Drama
447,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
139,Babe (1995),Children|Drama
2086,Carrington (1995),Drama|Romance
504,Dead Man Walking (1995),Crime|Drama
4384,Across the Sea of Time (1995),Documentary|IMAX
7691,It Takes Two (1995),Children|Comedy
22,Clueless (1995),Comedy|Romance
419,"Cry, the Beloved Country (1995)",Drama
3004,Richard III (1995),Drama|War
2087,Dead Presidents (1995),Action|Crime|Drama
3591,Restoration (1995),Drama
659,Mortal Kombat (1995),Action|Adventure|Fantasy
448,To Die For (1995),Comedy|Drama|Thriller
4131,How to Make an American Quilt (1995),Drama|Romance
23,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
2088,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
6831,When Night Is Falling (1995),Drama|Romance
24,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
25,Mighty Aphrodite (1995),Comedy|Drama|Romance
6506,Lamerica (1994),Adventure|Drama
6867,"Big Green, The (1995)",Children|Comedy
3005,Georgia (1995),Drama
2089,Home for the Holidays (1995),Drama
2090,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
7145,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
96,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
3617,Eye for an Eye (1996),Drama|Thriller
26,Mr. Holland's Opus (1995),Drama
2091,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
2092,Two if by Sea (1996),Comedy|Romance
3401,Bio-Dome (1996),Comedy
5001,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
3006,French Twist (Gazon maudit) (1995),Comedy|Romance
2481,Friday (1995),Comedy
547,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
4463,Fair Game (1995),Action
4213,Kicking and Screaming (1995),Comedy|Drama
2499,"Misérables, Les (1995)",Drama|War
