userId,age,gender,occupation,zipcode
118,24,M,technician,85711
229,53,F,other,94043
269,23,M,writer,32067
267,24,M,technician,43537
111,33,F,other,15213
9,42,M,executive,98101
38,57,M,administrator,91344
73,36,M,administrator,05201
293,29,M,student,01002
39,53,M,lawyer,90703
72,39,F,other,30329
304,28,F,other,06405
58,47,M,educator,29206
137,45,M,scientist,55106
120,49,F,educator,97301
131,21,M,entertainment,10309
247,30,M,programmer,06355
114,35,F,other,37212
109,40,M,librarian,02138
57,42,F,homemaker,95660
175,26,M,writer,30068
2,25,M,writer,40206
153,30,F,artist,48197
246,21,F,artist,94533
51,39,M,engineer,55107
115,49,M,engineer,21044
316,40,F,librarian,30030
77,32,M,writer,55369
235,41,M,programmer,94043
286,7,M,student,55436
282,24,M,artist,10003
79,28,F,student,78741
155,23,M,student,27510
277,38,F,administrator,42141
274,20,F,homemaker,42459
135,19,F,student,93117
237,23,M,student,55105
25,28,F,other,54467
326,41,M,entertainment,01040
305,38,M,scientist,27514
94,33,M,engineer,80525
55,30,M,administrator,17870
98,29,F,librarian,20854
92,26,M,technician,46260
200,29,M,programmer,50233
288,27,F,marketing,46538
241,53,M,marketing,07102
225,45,M,administrator,12550
105,23,F,student,76111
29,21,M,writer,52245
279,28,M,educator,16509
123,18,F,student,55105
249,26,M,programmer,55414
130,22,M,executive,66315
345,37,M,programmer,01331
119,25,M,librarian,46260
61,16,M,none,84010
88,27,M,programmer,52246
52,49,M,educator,08403
60,50,M,healthcare,06472
171,36,M,engineer,30040
10,27,F,administrator,97214
27,31,M,marketing,75240
182,32,M,educator,43202
186,51,F,educator,48118
113,23,M,student,80521
301,17,M,student,60402
107,19,M,student,22904
166,24,M,engineer,55337
136,27,M,engineer,60067
278,39,M,scientist,98034
53,48,F,administrator,73034
193,24,M,student,41850
297,39,M,scientist,T8H1N
210,24,M,entertainment,08816
263,20,M,student,02215
157,30,M,technician,29379
213,26,M,administrator,61801
209,39,F,administrator,03755
112,34,F,administrator,52241
49,21,M,student,21218
95,50,M,programmer,22902
127,40,M,other,44133
99,32,M,executive,55369
102,51,M,educator,20003
320,26,M,administrator,46005
54,47,M,administrator,89503
292,49,F,librarian,11701
243,43,F,administrator,68106
80,60,M,educator,78155
132,55,M,marketing,01913
65,32,M,entertainment,80525
232,48,M,executive,23112
90,26,M,student,71457
24,31,M,administrator,10707
191,25,F,artist,75206
33,43,M,artist,98006
303,49,F,executive,90291
46,20,M,student,63129
142,36,M,executive,90254
161,15,M,student,05146
26,38,M,programmer,30220
284,26,M,student,55108
167,27,M,student,55108
276,24,M,engineer,94043
253,61,M,retired,55125
217,39,M,scientist,60466
240,44,M,educator,63130
181,29,M,other,55423
87,19,M,student,77840
189,57,M,engineer,90630
163,30,M,salesman,60613
146,47,M,executive,95032
183,27,M,programmer,75013
6,31,M,engineer,17110
192,40,M,healthcare,97232
185,20,M,student,16125
214,21,M,administrator,90210
20,32,M,programmer,67401
287,47,F,other,06260
104,54,M,librarian,99603
16,32,F,writer,22206
150,48,F,artist,20008
250,34,M,student,60615
126,30,M,lawyer,22202
203,28,F,lawyer,20015
69,33,M,none,73439
91,24,F,marketing,20009
199,36,F,marketing,07039
116,20,M,none,60115
201,59,F,administrator,15237
328,24,M,other,94612
164,53,M,engineer,78602
177,31,M,programmer,80236
78,23,M,student,38401
265,51,M,other,97365
187,50,M,educator,84408
59,46,M,doctor,53211
321,20,M,student,08904
244,30,F,student,32250
238,49,M,programmer,36117
172,13,M,other,48118
258,42,M,technician,08832
169,53,M,programmer,20910
76,31,M,entertainment,V3N4P
