movieId,title,genres
96,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
300,Jumanji (1995),Adventure|Children|Fantasy
1482,Grumpier Old Men (1995),Comedy|Romance
1002,Waiting to Exhale (1995),Comedy|Drama|Romance
301,Father of the Bride Part II (1995),Comedy
302,Heat (1995),Action|Crime|Thriller
97,Sabrina (1995),Comedy|Romance
1555,Tom and Huck (1995),Adventure|Children
1556,Sudden Death (1995),Action
1280,GoldenEye (1995),Action|Adventure|Thriller
1281,"American President, The (1995)",Comedy|Drama|Romance
1486,Dracula: Dead and Loving It (1995),Comedy|Horror
1402,Balto (1995),Animation|Children
2541,Nixon (1995),Drama
1780,Cutthroat Island (1995),Action|Adventure|Romance
303,Casino (1995),Crime|Drama
1003,Sense and Sensibility (1995),Comedy|Drama|Romance
1781,Four Rooms (1995),Comedy|Drama|Thriller
304,Ace Ventura: When Nature Calls (1995),Comedy
1112,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
71,Get Shorty (1995),Action|Comedy|Drama
305,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
1113,Assassins (1995),Action|Crime|Thriller
1557,Powder (1995),Drama|Sci-Fi
98,Leaving Las Vegas (1995),Drama|Romance
1550,Othello (1995),Drama
1908,Now and Then (1995),Drama
99,Persuasion (1995),Drama|Romance
1241,"City of Lost Children, The (CitÃ© des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
100,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
306,Dangerous Minds (1995),Drama
101,12 Monkeys (Twelve Monkeys) (1995),Sci-Fi|Thriller
6077,Wings of Courage (1995),Adventure|IMAX|Romance
72,Babe (1995),Children|Comedy|Drama|Fantasy
2543,Carrington (1995),Drama|Romance
307,Dead Man Walking (1995),Crime|Drama
8240,Across the Sea of Time (1995),Documentary|IMAX
3178,It Takes Two (1995),Comedy
73,Clueless (1995),Comedy|Romance
1403,"Cry, the Beloved Country (1995)",Drama
2763,Richard III (1995),Drama|War
1004,Dead Presidents (1995),Action|Crime|Drama
1532,Restoration (1995),Drama
1558,Mortal Kombat (1995),Action|Adventure|Fantasy
1282,To Die For (1995),Comedy|Drama|Thriller
1404,How to Make an American Quilt (1995),Drama|Romance
102,Seven (a.k.a. Se7en) (1995),Crime|Horror|Mystery|Thriller
1559,Pocahontas (1995),Animation|Children|Musical|Romance
3880,When Night Is Falling (1995),Drama|Romance
213,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
9419,Guardian Angel (1994),Action|Drama|Thriller
103,Mighty Aphrodite (1995),Comedy|Drama|Romance
6137,Lamerica (1994),Adventure|Drama
3179,"Big Green, The (1995)",Children|Comedy
3129,Georgia (1995),Drama
6640,Kids of the Round Table (1995),Adventure|Children|Fantasy
104,Home for the Holidays (1995),Drama
105,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
4570,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
2544,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
1487,Eye for an Eye (1996),Drama|Thriller
1005,Mr. Holland's Opus (1995),Drama
1560,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
1483,Two if by Sea (1996),Comedy|Romance
1488,Bio-Dome (1996),Comedy
308,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
6610,Two Bits (1995),Drama
3084,French Twist (Gazon maudit) (1995),Comedy|Romance
1561,Friday (1995),Comedy
309,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
1114,Fair Game (1995),Action
2545,Kicking and Screaming (1995),Comedy|Drama
1562,"MisÃ©rables, Les (1995)",Drama|War
1405,Bed of Roses (1996),Drama|Romance
5344,Big Bully (1996),Comedy|Drama
2473,Screamers (1995),Action|Sci-Fi|Thriller
6274,Nico Icon (1995),Documentary
3130,"Crossing Guard, The (1995)",Drama
1489,"Juror, The (1996)",Drama|Thriller
4729,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
3488,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
2764,Antonia's Line (Antonia) (1995),Comedy|Drama
3131,Once Upon a Time... When We Were Colored (1995),Drama
3881,Last Summer in the Hamptons (1995),Comedy|Drama
106,Angels and Insects (1995),Drama|Romance
1563,White Squall (1996),Adventure|Drama
3180,Dunston Checks In (1996),Children|Comedy
1115,Black Sheep (1996),Comedy
2754,Nick of Time (1995),Action|Thriller
3190,"Journey of August King, The (1995)",Drama
1533,Mary Reilly (1996),Drama|Horror|Thriller
310,Vampire in Brooklyn (1995),Comedy|Romance
1484,Beautiful Girls (1996),Comedy|Drama|Romance
1283,Broken Arrow (1996),Action|Adventure|Thriller
3132,In the Bleak Midwinter (1995),Comedy|Drama
4906,"Hate (Haine, La) (1995)",Drama
5547,Shopping (1994),Action|Thriller
2527,Heidi Fleiss: Hollywood Madam (1995),Documentary
1490,City Hall (1996),Drama|Thriller
214,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
1491,Mr. Wrong (1996),Comedy
1551,Unforgettable (1996),Mystery|Sci-Fi|Thriller
311,Happy Gilmore (1996),Comedy
1284,"Bridges of Madison County, The (1995)",Drama|Romance
5001,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
1492,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
6277,Catwalk (1996),Documentary
9707,Headless Body in Topless Bar (1995),Comedy
22,Braveheart (1995),Action|Drama|War
107,Taxi Driver (1976),Crime|Drama|Thriller
1285,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
3133,Before and After (1996),Drama|Mystery
4123,Margaret's Museum (1995),Drama
9708,"Happiness Is in the Field (Bonheur est dans le prÃ©, Le) (1995)",Comedy
1534,Anne Frank Remembered (1995),Documentary
3134,"Young Poisoner's Handbook, The (1995)",Crime|Drama
3489,If Lucy Fell (1996),Comedy|Romance
3191,"Steal Big, Steal Little (1995)",Comedy
5150,Race the Sun (1996),Drama
3008,"Boys of St. Vincent, The (1992)",Drama
0,Boomerang (1992),Comedy|Romance
2756,Chungking Express (ChÃ³ngqÃ¬ng SenlÃ­n) (1994),Drama|Mystery|Romance
3135,"Star Maker, The (L'Uomo delle stelle) (1995)",Drama
2040,Flirting With Disaster (1996),Comedy
1564,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
8431,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama
8334,Jupiter's Wife (1994),Documentary
2546,Pie in the Sky (1996),Comedy|Romance
8910,Angela (1995),Drama
5688,Frankie Starlight (1995),Drama|Romance
1565,Jade (1995),Thriller
8365,Nueba Yol (1995),Comedy|Drama
9219,Sonic Outlaws (1995),Documentary
1493,Down Periscope (1996),Comedy
6250,From the Journals of Jean Seberg (1995),Documentary
5480,Man of the Year (1995),Documentary
5151,"Neon Bible, The (1995)",Drama
8366,Target (1995),Action|Drama
1909,Up Close and Personal (1996),Drama|Romance
108,"Birdcage, The (1996)",Comedy
8367,Shadows (Cienie) (1988),Drama
3192,Gospa (1995),Drama
2547,"Brothers McMullen, The (1995)",Comedy
312,Bad Boys (1995),Action
3181,"Amazing Panda Adventure, The (1995)",Adventure|Children
2883,"Basketball Diaries, The (1995)",Drama
3882,"Awfully Big Adventure, An (1995)",Drama
3136,Amateur (1994),Crime|Drama|Thriller
74,Apollo 13 (1995),Adventure|Drama
23,Rob Roy (1995),Action|Drama|Romance|War
4907,"Addiction, The (1995)",Drama|Horror
75,Batman Forever (1995),Action|Adventure|Comedy|Crime
2675,Belle de jour (1967),Drama
3009,Beyond Rangoon (1995),Adventure|Drama|War
2528,Blue in the Face (1995),Comedy|Drama
2999,Canadian Bacon (1995),Comedy|War
313,Casper (1995),Adventure|Children
2884,Clockers (1995),Crime|Drama|Mystery
314,Congo (1995),Action|Adventure|Mystery|Sci-Fi
76,Crimson Tide (1995),Drama|Thriller|War
2041,Crumb (1994),Documentary
315,Desperado (1995),Action|Romance|Thriller
316,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
77,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
4914,"Doom Generation, The (1995)",Comedy|Crime|Drama
7615,Feast of July (1995),Drama
1566,First Knight (1995),Action|Drama|Romance
1286,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
317,Hackers (1995),Action|Adventure|Crime|Thriller
109,Jeffrey (1995),Comedy|Drama
318,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
319,Judge Dredd (1995),Action|Crime|Sci-Fi
1567,Jury Duty (1995),Comedy
2885,Kids (1995),Drama
1986,Living in Oblivion (1995),Comedy
2957,Lord of Illusions (1995),Horror
3137,Love & Human Remains (1993),Comedy|Drama
3413,Mad Love (1995),Drama|Romance
320,Mallrats (1995),Comedy
1568,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
6170,Moonlight and Valentino (1995),Drama|Romance
3010,Mute Witness (1994),Comedy|Horror|Thriller
6699,Nadja (1994),Drama
1,"Net, The (1995)",Action|Crime|Thriller
1287,Nine Months (1995),Comedy|Romance
3883,Party Girl (1995),Comedy
1569,"Prophecy, The (1995)",Fantasy|Horror|Mystery
6414,Reckless (1995),Comedy|Fantasy
3085,Safe (1995),Thriller
3884,"Scarlet Letter, The (1995)",Drama|Romance
8226,"Show, The (1995)",Documentary
2757,Showgirls (1995),Drama
110,Smoke (1995),Comedy|Drama
1997,Something to Talk About (1995),Comedy|Drama|Romance
321,Species (1995),Horror|Sci-Fi
5152,"Stars Fell on Henrietta, The (1995)",Drama
1242,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
2484,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
4172,"Tie That Binds, The (1995)",Thriller
3885,Three Wishes (1995),Drama
5898,Total Eclipse (1995),Drama|Romance
1288,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
1406,Under Siege 2: Dark Territory (1995),Action
2024,Unstrung Heroes (1995),Comedy|Drama
3138,Unzipped (1995),Documentary
1407,"Walk in the Clouds, A (1995)",Drama|Romance
78,Waterworld (1995),Action|Adventure|Sci-Fi
6078,White Man's Burden (1995),Drama
3011,Wild Bill (1995),Western
3139,"Browning Version, The (1994)",Drama
