movieId	title	Action	Adventure	Animation	Children	Comedy	Crime	Documentary	Drama	Fantasy	Film-Noir	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
0	Boomerang (1992)	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
1	Net, The (1995)	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
2	Dumb & Dumber (1994)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Outbreak (1995)	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
4	Stargate (1994)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5	Star Trek: Generations (1994)	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
6	Flintstones, The (1994)	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
7	Forrest Gump (1994)	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0
8	Jungle Book, The (1994)	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
9	Lion King, The (1994)	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
10	Naked Gun 33 1/3: The Final Insult (1994)	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
11	Speed (1994)	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
12	Beverly Hills Cop III (1994)	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
13	Hot Shots! Part Deux (1993)	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
14	Jurassic Park (1993)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
15	Robin Hood: Men in Tights (1993)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16	Sleepless in Seattle (1993)	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
17	Home Alone (1990)	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Aladdin (1992)	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
19	Terminator 2: Judgment Day (1991)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
20	Snow White and the Seven Dwarfs (1937)	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0
21	Aristocats, The (1970)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	Braveheart (1995)	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
23	Rob Roy (1995)	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
24	Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
25	River Wild, The (1994)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
26	Dances with Wolves (1990)	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
27	Mission: Impossible (1996)	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
28	Multiplicity (1996)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Rock, The (1996)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
30	Twister (1996)	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
31	Independence Day (a.k.a. ID4) (1996)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
32	Eraser (1996)	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
33	Phenomenon (1996)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
34	Godfather, The (1972)	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
35	Ghost and the Darkness, The (1996)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	Willy Wonka & the Chocolate Factory (1971)	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0
37	Star Wars: Episode VI - Return of the Jedi (1983)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
38	Star Trek: First Contact (1996)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
39	Mars Attacks! (1996)	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
40	Lost World: Jurassic Park, The (Jurassic Park 2) (1997)	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
41	Burnt by the Sun (Utomlyonnye solntsem) (1994)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
42	Wallace & Gromit: The Wrong Trousers (1993)	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
43	Dead Poets Society (1989)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
44	Chinatown (1974)	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0
45	Cool Hand Luke (1967)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
46	This Is Spinal Tap (1984)	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
47	Last of the Mohicans, The (1992)	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
48	Con Air (1997)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
49	For Roseanna (Roseanna's Grave) (1997)	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
50	Conspiracy Theory (1997)	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0
51	Witness (1985)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
52	Erin Brockovich (2000)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
53	Fabulous Baker Boys, The (1989)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
54	Man From Snowy River, The (1982)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
55	Turner & Hooch (1989)	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
56	Beautiful Mind, A (2001)	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
57	My Big Fat Greek Wedding (2002)	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
58	Good Girl, The (2002)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
59	Possession (2002)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
60	Lord of the Rings: The Two Towers, The (2002)	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
61	Anger Management (2003)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
62	Finding Nemo (2003)	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
63	Pirates of the Caribbean: The Curse of the Black Pearl (2003)	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
64	Lord of the Rings: The Return of the King, The (2003)	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
65	Calendar Girls (2003)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
66	Terminal, The (2004)	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0
67	Notebook, The (2004)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
68	Village, The (2004)	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
69	Interpreter, The (2005)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
70	Innocent Voices (Voces inocentes) (2004)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
71	Get Shorty (1995)	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
72	Babe (1995)	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
73	Clueless (1995)	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
74	Apollo 13 (1995)	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
75	Batman Forever (1995)	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
76	Crimson Tide (1995)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
77	Die Hard: With a Vengeance (1995)	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
78	Waterworld (1995)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
79	Interview with the Vampire: The Vampire Chronicles (1994)	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
80	Legends of the Fall (1994)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1
81	Santa Clause, The (1994)	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
82	Ace Ventura: Pet Detective (1994)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
83	Clear and Present Danger (1994)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
84	Mask, The (1994)	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
85	True Lies (1994)	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
86	Addams Family Values (1993)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
87	City Slickers II: The Legend of Curly's Gold (1994)	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
88	Cliffhanger (1993)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
89	Coneheads (1993)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
90	Dave (1993)	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
91	Mrs. Doubtfire (1993)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
92	Ghost (1990)	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0
93	Batman (1989)	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
94	Beauty and the Beast (1991)	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0
95	Pretty Woman (1990)	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
96	Toy Story (1995)	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
97	Sabrina (1995)	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
98	Leaving Las Vegas (1995)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
99	Persuasion (1995)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
100	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
101	12 Monkeys (Twelve Monkeys) (1995)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
102	Seven (a.k.a. Se7en) (1995)	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0
103	Mighty Aphrodite (1995)	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
104	Home for the Holidays (1995)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
105	Postman, The (Postino, Il) (1994)	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
106	Angels and Insects (1995)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
107	Taxi Driver (1976)	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
108	Birdcage, The (1996)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
109	Jeffrey (1995)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
110	Smoke (1995)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
111	Dolores Claiborne (1995)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
112	Eat Drink Man Woman (Yin shi nan nu) (1994)	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
113	Ed Wood (1994)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
114	Farinelli: il castrato (1994)	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
115	Immortal Beloved (1994)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
116	Priest (1994)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
117	Three Colors: Red (Trois couleurs: Rouge) (1994)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
118	Three Colors: Blue (Trois couleurs: Bleu) (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
119	Three Colors: White (Trois couleurs: Blanc) (1994)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
120	Strawberry and Chocolate (Fresa y chocolate) (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
121	To Live (Huozhe) (1994)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
122	Vanya on 42nd Street (1994)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
123	Adventures of Priscilla, Queen of the Desert, The (1994)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
124	Bullets Over Broadway (1994)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
125	Age of Innocence, The (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
126	Farewell My Concubine (Ba wang bie ji) (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
127	In the Name of the Father (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
128	What's Love Got to Do with It? (1993)	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
129	In the Realm of the Senses (Ai no corrida) (1976)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
130	Philadelphia (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
131	Piano, The (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
132	Remains of the Day, The (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
133	Schindler's List (1993)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
