movieId,title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
2,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
3,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,"Usual Suspects, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5,Rumble in the Bronx (Hont faan kui) (1995),1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Rob Roy (1995),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
7,Clerks (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Interview with the Vampire: The Vampire Chronicles (1994),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9,Star Wars: Episode IV - A New Hope (1977),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
11,Pulp Fiction (1994),0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
12,"Shawshank Redemption, The (1994)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
13,What's Eating Gilbert Grape (1993),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,"Mask, The (1994)",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
15,Blade Runner (1982),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
16,Terminator 2: Judgment Day (1991),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,"Silence of the Lambs, The (1991)",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
18,Dragonheart (1996),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,"Wizard of Oz, The (1939)",0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20,2001: A Space Odyssey (1968),0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21,Escape to Witch Mountain (1975),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Die Hard (1988),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,"Fish Called Wanda, A (1988)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Monty Python's Life of Brian (1979),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Reservoir Dogs (1992),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
26,Platoon (1986),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,E.T. the Extra-Terrestrial (1982),0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28,Monty Python and the Holy Grail (1975),0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
29,One Flew Over the Cuckoo's Nest (1975),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Star Wars: Episode V - The Empire Strikes Back (1980),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Aliens (1986),1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
33,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,Apocalypse Now (1979),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
35,Alien (1979),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
36,Army of Darkness (1993),1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
37,Ran (1985),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
38,Psycho (1960),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
39,Full Metal Jacket (1987),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,"Terminator, The (1984)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41,Rosencrantz and Guildenstern Are Dead (1990),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
42,Dead Poets Society (1989),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,"Femme Nikita, La (Nikita) (1990)",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
44,"Shining, The (1980)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,Stand by Me (1986),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,Evil Dead II (Dead by Dawn) (1987),1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
47,"Great Escape, The (1963)",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
48,Unforgiven (1992),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
49,Young Frankenstein (1974),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50,Indiana Jones and the Last Crusade (1989),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Butch Cassidy and the Sundance Kid (1969),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,"American Werewolf in London, An (1981)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
53,"Birds, The (1963)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,"Omen, The (1976)",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
56,Sling Blade (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,Die Hard 2 (1990),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,Star Trek II: The Wrath of Khan (1982),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
59,Jaws (1975),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,Warriors of Virtue (1997),1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,Contact (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
62,Star Kid (1997),0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
63,"Borrowers, The (1997)",0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
64,Small Soldiers (1998),0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
65,Labyrinth (1986),0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
66,Poltergeist (1982),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
67,"Exorcist, The (1973)",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
68,Dune (1984),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,Splash (1984),0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
70,"Dead Zone, The (1983)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,Watership Down (1978),0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72,"Dark Crystal, The (1982)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,Legend (1985),0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
74,"Navigator: A Mediaeval Odyssey, The (1988)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
75,Beetlejuice (1988),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
76,Willow (1988),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,"Untouchables, The (1987)",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
78,Toys (1992),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
79,"Thing, The (1982)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
80,Edward Scissorhands (1990),0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
81,"Lock, Stock & Two Smoking Barrels (1998)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
82,Star Wars: Episode I - The Phantom Menace (1999),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,Dracula (1931),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,Frankenstein (1931),0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
85,Invasion of the Body Snatchers (1956),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
86,Austin Powers: The Spy Who Shagged Me (1999),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Run Lola Run (Lola rennt) (1998),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,Ghostbusters (a.k.a. Ghost Busters) (1984),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
89,"Iron Giant, The (1999)",0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
90,"Sixth Sense, The (1999)",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
91,"Christmas Story, A (1983)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Excalibur (1981),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,Ferris Bueller's Day Off (1986),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"Dirty Dozen, The (1967)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
95,Goldfinger (1964),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,Fight Club (1999),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
97,Time Bandits (1981),0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
98,Princess Mononoke (Mononoke-hime) (1997),1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
99,Yojimbo (1961),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Little Big Man (1970),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,Sleepy Hollow (1999),0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
102,"7th Voyage of Sinbad, The (1958)",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,Hard-Boiled (Lat sau san taam) (1992),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
104,Teenage Mutant Ninja Turtles (1990),1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
105,Jacob's Ladder (1990),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
106,Ladyhawke (1985),0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
107,Hook (1991),0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
108,Misery (1990),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
109,Highlander: Endgame (Highlander IV) (2000),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,"Invisible Man, The (1933)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
