movie,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Star Wars (1977),0.45050934,0.1393923,-0.2235947,-0.11032251,0.2380979,0.3153893,-0.18793434,-0.27243114,0.19645104,0.40548608,-0.15703115,-0.35102925,0.0099465,0.30696446,0.44754028,0.42695013,-0.3025513,0.15379174,-0.6203693,-0.22103333,-0.25487128,-0.2946225,-0.51509523,-0.023169115,-0.45899233,0.039272547,-0.36811036,-0.26000908,0.23244445,0.5788145,-0.21205522,0.69332993,-0.53302866,-0.38323793,0.26215044,-0.11940518,-0.5327352,-0.034477793,-0.23629619,0.168962
Contact (1997),0.20423673,0.05112549,-0.44601062,-0.08134,-0.2911059,0.05352067,-0.18444008,-0.17930794,-0.3997475,0.26321658,-0.2119353,0.33130902,0.25309765,-0.049286384,-0.12556483,0.28877512,-0.26950958,-0.12856896,-0.3819587,-0.1453769,0.04745368,-0.21633656,0.054187026,0.41879186,-0.10210187,0.04625268,-0.13665868,-0.16063038,0.10832719,-0.06320165,-0.033166762,0.20321317,0.0637075,-0.06277242,0.21971703,-0.309088,-0.15012567,-0.071604095,0.008044457,0.05233413
Fargo (1996),-0.43050367,0.13463932,-0.14315543,-0.031531278,0.3215921,0.25193444,-0.37986198,-0.2314531,-0.12905064,0.3286871,-0.03306959,0.06419315,-0.21576749,-0.13182804,0.018068468,0.09929212,-0.21683288,0.07629132,-0.19829954,-0.32170287,-0.18875019,0.0049903207,-0.02666795,-0.34661847,0.07318384,0.24327135,-0.082146175,0.1379824,-0.11378002,0.1906766,0.29687765,-0.0059503713,0.29100963,0.14679663,0.1002752,-0.46021944,-0.21694937,0.31216344,0.38904858,0.29108056
Return of the Jedi (1983),0.5031164,0.030397233,0.0136279585,-0.049397554,0.12297816,0.12442013,0.025945704,-0.09694838,0.18239251,0.30801967,-0.24408749,-0.23631099,0.021793531,0.16418567,0.29236996,0.19422993,-0.20201117,0.004676893,-0.5426982,-0.27494052,-0.2590063,-0.2659171,-0.359478,0.026513638,-0.38611478,0.14196333,-0.26642314,-0.10892896,0.22018988,0.46817902,-0.26912388,0.41071662,-0.4478603,-0.4300517,0.14952835,-0.1462323,-0.38074663,-0.12591004,-0.22219577,0.106924035
Liar Liar (1997),-0.24239756,0.016739659,0.18114913,-0.1333667,0.19835518,0.095496885,0.19415763,0.14202966,0.41231215,0.12725104,-0.2483589,-0.14312644,-0.13615853,-0.3112469,0.04147485,0.19209976,0.26945174,0.2576802,-0.18073691,0.112166144,-0.3420955,-0.049977154,0.24554117,0.27177522,-0.23022111,-0.12747225,0.0012490797,-0.5033958,0.28562,-0.006705636,-0.36894196,0.21301259,-0.2507773,-0.32965446,-0.018855628,0.09056678,-0.14776911,0.41446328,-0.36599368,-0.2639983
"English Patient, The (1996)",-0.3980152,0.11153887,-0.09217217,0.43958008,-0.099142104,0.16471733,-0.3504751,-0.15938716,-0.17781235,0.101002626,0.0052001146,-0.21352737,0.185827,0.16887403,0.071037,0.16632985,-0.10265502,0.06378676,-0.332821,-0.012383144,-0.21251808,0.59172976,-0.027609814,0.18003939,-0.14827962,0.21850708,-0.13470852,0.22542049,0.34168145,-0.048644632,0.4703969,-0.337479,0.12528785,-0.11479359,0.18729797,-0.06887593,-0.2406181,0.51655096,-0.33945513,-0.19838189
Scream (1996),-0.37775826,0.081826225,-0.15057756,-0.07981495,-0.027044728,-0.20247446,0.11012937,0.3925647,-0.18681209,0.22176383,-0.17929128,-0.18474102,-0.028090961,0.06349254,0.3917157,-0.38168103,0.13089405,-0.4400889,-0.33339992,0.1725813,0.4037547,-0.03717851,0.25938678,-0.07310195,-0.2950364,0.17700775,-0.0308894,-0.6099966,-0.028030187,-0.099088274,-0.14643483,0.5790612,0.24466018,0.12544383,0.30093354,0.4759294,-0.1580682,-0.10165828,0.04208484,0.045002088
Toy Story (1995),0.0095724035,0.3480388,-0.12979367,0.2837429,0.019643895,-0.06276605,0.04511629,-0.15495266,0.1833211,0.14254054,-0.27435124,-0.10968588,-0.40926325,0.0074681565,0.21305563,0.050756536,-0.31859803,0.40223673,-0.14182845,-0.08999068,-0.1552364,-0.25047868,-0.121186264,0.11499169,-0.3746725,-0.13536385,0.03191201,-0.29376435,0.06619165,0.17795365,-0.16656111,0.3579722,-0.095683545,0.18717812,0.106932856,-0.15814418,-0.3446105,0.25471404,-0.09788293,-0.08874779
Air Force One (1997),-0.19535816,-0.10395528,-0.1566643,0.06346202,-0.085766055,0.22200447,0.21285069,0.05919528,0.25551525,0.23670962,-0.33676928,-0.1475358,-0.052496903,0.07368575,0.036783446,0.15859729,-0.26067433,0.22974095,-0.3208939,-0.059442867,-0.23778099,-0.002204451,0.2312117,0.54455227,-0.31149837,-0.13259798,0.2073811,0.043180216,-0.23513082,0.23061872,-0.3682604,-0.18834904,0.10775394,0.31611148,0.13679107,0.23938845,-0.15912779,0.0005948221,-0.08100752,0.3220742
Independence Day (ID4) (1996),0.070487626,-0.25522074,0.08371622,-0.17659219,-0.14745325,0.34750518,0.32920158,0.19576043,-0.02948078,0.2768722,-0.33854482,0.0021394654,-0.03665892,0.28915945,-0.08705275,0.13208833,-0.32921976,0.3359517,-0.31294504,0.046515964,-0.38315946,-0.41360858,0.4288933,0.2573152,-0.2685926,0.3309187,0.26403594,0.24394262,-0.07349132,0.12897861,-0.29590502,0.058379315,-0.19556291,-0.17280072,0.009181181,0.11495573,-0.30193013,0.18632703,-0.036577515,0.026040476
